GH_Repo_Name,Remote_URL,Branch_Checked_Out,Latest_Commit_SHA,Date_Most_Recent_Change,Absolute_Path,Other_Available_Branches,Unpushed_Commits,Uncommitted_Changes,Untracked_Files,Stashed_Changes,Local_Only_Branches,Last_Commit_Date,Number_of_Commits,Last_Push_Date,Is_Fork,Is_Nested_Repo,Duplicate_Indicator
"pab-team.wiki","https://github.com/Nationwide/pab-team.wiki.git","master","9e522ad","2026-05-02T14:30:46-04:00","/c/devl/.com/pab-team.wiki","N/A","101","YES","YES","NO","N/A","2026-05-02T14:30:46-04:00","17","2026-05-02T14:30:46-04:00","NO","NO","PENDING"
"pab-team","https://github.com/Nationwide/pab-team.git","main","6bdd610","2026-05-15T15:56:08-04:00","/c/devl/.com/pab-team_main","  PAB-15017-delete-consolidate-files;  PAB-15017-obvious-file-deletions;  PAB-15017_PAB-15072-org-Partners-and-Beyond.wiki;  PAB-15017_PAB-15072-org-wikis;  PAB-15072-links-nwie2com-updates;  version;  wiki_main","12","YES","YES","YES","  PAB-15017-delete-consolidate-files;  PAB-15017-obvious-file-deletions;  PAB-15017_PAB-15072-org-Partners-and-Beyond.wiki;  PAB-15017_PAB-15072-org-wikis;  PAB-15072-links-nwie2com-updates;  version;  wiki_main","2026-05-15T15:56:08-04:00","28","2026-05-15T15:56:08-04:00","NO","NO","PENDING"
"partner-data-experience-v3","https://github.com/Nationwide/partner-data-experience-v3.git","main","425c487","2026-03-06T15:15:28-05:00","/c/devl/.com/partner-data-experience-v3","N/A","0","YES","YES","NO","N/A","2026-03-06T15:15:28-05:00","256","2026-03-06T15:15:28-05:00","NO","NO","PENDING"
"partner-data-experience-v3-OAS","https://github.com/Nationwide/partner-data-experience-v3-OAS.git","master","8665a3f","2026-03-03T10:24:05-05:00","/c/devl/.com/partner-data-experience-v3-OAS","N/A","0","NO","NO","NO","N/A","2026-03-03T10:24:05-05:00","40","2026-03-03T10:24:05-05:00","NO","NO","PENDING"
"pdx-batch-logging","https://github.com/Nationwide/pdx-batch-logging.git","PAB-15244_PAB-15243-cicd-boostr-setup","7e186b9","2026-05-26T17:38:34-04:00","/c/devl/.com/pdx-batch-logging","  main","12","NO","NO","YES","  main","2026-05-26T17:38:34-04:00","46","2026-05-26T17:38:34-04:00","NO","NO","PENDING"
"security","https://github.com/Nationwide/security.git","main","61334b7","2026-05-12T15:55:58-04:00","/c/devl/.com/security","N/A","0","YES","NO","NO","N/A","2026-05-12T15:55:58-04:00","730","2026-05-12T15:55:58-04:00","NO","NO","PENDING"
"pab-team","https://github.com/Nationwide/pab-team.git","wiki_main","22cc27d","2026-05-01T13:45:06-04:00","/c/devl/.com/wiki_main/pab-team","  main","12","YES","YES","YES","  main","2026-05-01T13:45:06-04:00","61","2026-05-01T13:45:06-04:00","NO","NO","PENDING"
"util","https://github.nwie.net/narayae2/util.git","master","dba43b8","2025-06-07T15:09:18-04:00","/c/devl/.github/scripts/util","N/A","0","YES","YES","NO","N/A","2025-06-07T15:09:18-04:00","1675","2025-06-07T15:09:18-04:00","NO","NO","PENDING"
"ai-tooling-v2","https://github.nwie.net/Nationwide/ai-tooling-v2.git","main","f7a78f8","2025-10-20T11:11:12-04:00","/c/devl/2025/ai-pilot/0..ai-tooling/ai-tooling-v2","N/A","0","YES","YES","NO","N/A","2025-10-20T11:11:12-04:00","24","2025-10-20T11:11:12-04:00","NO","NO","PENDING"
"AI-Professional-Prompts","https://github.com/Troyanovsky/AI-Professional-Prompts.git","main","463d399","2023-06-20T15:07:16+08:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts","N/A","0","YES","YES","NO","N/A","2023-06-20T15:07:16+08:00","60","2023-06-20T15:07:16+08:00","NO","NO","PENDING"
"ai-prompts-mastery-2025","https://github.com/MianAliKhalid/ai-prompts-mastery-2025.git","main","9798b6d","2024-12-03T16:25:52+05:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts/ai-prompts-mastery-2025","N/A","0","YES","YES","NO","N/A","2024-12-03T16:25:52+05:00","7","2024-12-03T16:25:52+05:00","NO","YES","PENDING"
"100000-ai-prompts-by-contentifyai","https://github.com/alphatrait/100000-ai-prompts-by-contentifyai.git","main","427259a","2023-11-23T01:20:32-06:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts/ai-prompts-mastery-2025/copilot/100000-ai-prompts-by-contentifyai","N/A","0","NO","NO","NO","N/A","2023-11-23T01:20:32-06:00","11","2023-11-23T01:20:32-06:00","NO","YES","PENDING"
"copilot-prompts","https://github.com/pnp/copilot-prompts.git","main","90e4822","2024-08-05T11:05:50+10:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts/ai-prompts-mastery-2025/copilot/copilot-prompts","N/A","0","NO","NO","NO","N/A","2024-08-05T11:05:50+10:00","71","2024-08-05T11:05:50+10:00","NO","YES","PENDING"
"copilot-todo-list","https://github.com/blackgirlbytes/copilot-todo-list.git","main","43ffbd2","2023-03-03T07:19:13-05:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts/ai-prompts-mastery-2025/copilot/copilot-todo-list","N/A","0","NO","NO","NO","N/A","2023-03-03T07:19:13-05:00","7","2023-03-03T07:19:13-05:00","NO","YES","PENDING"
"dev-chatgpt-prompts","https://github.com/PickleBoxer/dev-chatgpt-prompts.git","master","c7f926a","2023-09-07T11:13:10+02:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts/ai-prompts-mastery-2025/copilot/dev-chatgpt-prompts","N/A","0","NO","NO","NO","N/A","2023-09-07T11:13:10+02:00","23","2023-09-07T11:13:10+02:00","NO","YES","PENDING"
"MS-4005-Craft-effective-prompts-for-Microsoft-Copilot-for-Microsoft-365","https://github.com/MicrosoftLearning/MS-4005-Craft-effective-prompts-for-Microsoft-Copilot-for-Microsoft-365.git","master","535fcfc","2024-07-18T14:12:07-07:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts/ai-prompts-mastery-2025/copilot/MS-4005-Craft-effective-prompts-for-Microsoft-Copilot-for-Microsoft-365","N/A","0","YES","NO","NO","N/A","2024-07-18T14:12:07-07:00","19","2024-07-18T14:12:07-07:00","NO","YES","PENDING"
"promptoftheyear","https://github.com/successfulstudy/promptoftheyear.git","main","b850076","2023-12-13T16:26:02+08:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts/ai-prompts-mastery-2025/copilot/promptoftheyear","N/A","0","NO","NO","NO","N/A","2023-12-13T16:26:02+08:00","5","2023-12-13T16:26:02+08:00","NO","YES","PENDING"
"promptsource","https://github.com/bigscience-workshop/promptsource.git","main","7dab96a","2023-10-23T13:59:40-04:00","/c/devl/2025/ai-pilot/AI-Professional-Prompts/ai-prompts-mastery-2025/copilot/promptsource","N/A","0","NO","NO","NO","N/A","2023-10-23T13:59:40-04:00","755","2023-10-23T13:59:40-04:00","NO","YES","PENDING"
"ai-tooling-v2","https://github.nwie.net/Nationwide/ai-tooling-v2.git","main","f7a78f8","2025-10-20T11:11:12-04:00","/c/devl/2025/ai-pilot/ai-tooling-v2","N/A","0","YES","YES","NO","N/A","2025-10-20T11:11:12-04:00","24","2025-10-20T11:11:12-04:00","NO","NO","PENDING"
"Generative-AI-Tutorial","https://github.nwie.net/Nationwide/Generative-AI-Tutorial.git","main","11e5ad2","2025-11-03T14:09:36-05:00","/c/devl/2025/ai-pilot/ai-tooling-v2/Generative-AI-Tutorial","N/A","0","NO","NO","NO","N/A","2025-11-03T14:09:36-05:00","60","2025-11-03T14:09:36-05:00","NO","YES","PENDING"
"ansible-playbook-kiro","https://github.nwie.net/moyerg2/ansible-playbook-kiro.git","main","8ea89b8","2025-10-28T15:32:37-04:00","/c/devl/2025/ai-pilot/ansible-playbook-kiro","N/A","0","NO","NO","NO","N/A","2025-10-28T15:32:37-04:00","4","2025-10-28T15:32:37-04:00","NO","NO","PENDING"
"Cognigy-Extensions","https://github.nwie.net/Nationwide/Cognigy-Extensions.git","main","c665e42","2025-06-04T10:31:36-04:00","/c/devl/2025/ai-pilot/Cognigy-Extensions","  feature/feature-flag-single-node;  feature/feature-flags","0","NO","NO","NO","  feature/feature-flag-single-node;  feature/feature-flags","2025-06-04T10:31:36-04:00","14","2025-06-04T10:31:36-04:00","NO","NO","PENDING"
"pab","https://github.nwie.net/Nationwide/pab","main","ac7ce45","2025-11-13T14:14:08-05:00","/c/devl/2025/ai-pilot/consolidate_wiki/wiki/pab","N/A","0","NO","NO","NO","N/A","2025-11-13T14:14:08-05:00","35","2025-11-13T14:14:08-05:00","NO","YES","PENDING"
"pab.wiki","https://github.nwie.net/Nationwide/pab.wiki.git","master","a2a5235","2025-11-05T10:05:51-05:00","/c/devl/2025/ai-pilot/consolidate_wiki/wiki/pab.wiki","N/A","0","NO","NO","NO","N/A","2025-11-05T10:05:51-05:00","1","2025-11-05T10:05:51-05:00","NO","YES","PENDING"
"Partners-and-Beyond","https://github.nwie.net/Nationwide/Partners-and-Beyond.git","main","b4d97ff","2025-01-24T18:36:36-05:00","/c/devl/2025/ai-pilot/consolidate_wiki/wiki/Partners-and-Beyond","N/A","0","NO","NO","NO","N/A","2025-01-24T18:36:36-05:00","26","2025-01-24T18:36:36-05:00","NO","YES","PENDING"
"Partners-and-Beyond.wiki","https://github.nwie.net/Nationwide/Partners-and-Beyond.wiki.git","master","fcbdac3","2025-11-13T11:12:42-05:00","/c/devl/2025/ai-pilot/consolidate_wiki/wiki/Partners-and-Beyond.wiki","N/A","0","NO","NO","NO","N/A","2025-11-13T11:12:42-05:00","877","2025-11-13T11:12:42-05:00","NO","YES","PENDING"
"technology-innovation","https://github.nwie.net/Nationwide/technology-innovation.git","main","cb8983c","2025-08-04T09:45:00-04:00","/c/devl/2025/ai-pilot/consolidate_wiki/wiki/technology-innovation","N/A","0","NO","NO","NO","N/A","2025-08-04T09:45:00-04:00","124","2025-08-04T09:45:00-04:00","NO","YES","PENDING"
"kiro","https://github.com/jasonkneen/kiro.git","main","3855d2a","2025-10-28T06:42:09Z","/c/devl/2025/ai-pilot/kiro","N/A","0","YES","YES","NO","N/A","2025-10-28T06:42:09Z","23","2025-10-28T06:42:09Z","NO","NO","PENDING"
"agentic-golden-path","https://github.nwie.net/Nationwide/agentic-golden-path.git","main","b6b4fb9","2025-11-13T08:46:07-05:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/agentic-golden-path","N/A","0","NO","NO","NO","N/A","2025-11-13T08:46:07-05:00","189","2025-11-13T08:46:07-05:00","NO","YES","PENDING"
"api-proxy","https://github.nwie.net/Nationwide/api-proxy.git","main","8399584","2025-10-30T13:29:03-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/api-proxy","N/A","0","NO","NO","NO","N/A","2025-10-30T13:29:03-04:00","52","2025-10-30T13:29:03-04:00","NO","YES","PENDING"
"APIs","https://github.nwie.net/Nationwide/APIs.git","master","d3145b1","2025-09-30T15:38:19-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/APIs","N/A","0","NO","NO","NO","N/A","2025-09-30T15:38:19-04:00","87","2025-09-30T15:38:19-04:00","NO","YES","PENDING"
"APIs.wiki","https://github.nwie.net/Nationwide/APIs.wiki.git","master","62a7248","2025-01-24T17:24:20-05:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/APIs.wiki","N/A","0","NO","NO","NO","N/A","2025-01-24T17:24:20-05:00","1735","2025-01-24T17:24:20-05:00","NO","YES","PENDING"
"cloud-native-engineering","https://github.nwie.net/Nationwide/cloud-native-engineering.git","main","169970c","2025-08-04T07:08:45-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/cloud-native-engineering","N/A","0","NO","NO","NO","N/A","2025-08-04T07:08:45-04:00","45","2025-08-04T07:08:45-04:00","NO","YES","PENDING"
"cloud-native-engineering.wiki","https://github.nwie.net/Nationwide/cloud-native-engineering.wiki.git","master","73eab67","2025-01-09T14:54:18-05:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/cloud-native-engineering.wiki","N/A","0","NO","NO","NO","N/A","2025-01-09T14:54:18-05:00","310","2025-01-09T14:54:18-05:00","NO","YES","PENDING"
"DDS-DB-Deploy-Service-wiki","https://github.nwie.net/Nationwide/DDS-DB-Deploy-Service-wiki.git","master","4eadac5","2025-09-11T09:50:24-07:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/DDS-DB-Deploy-Service-wiki","N/A","0","NO","NO","NO","N/A","2025-09-11T09:50:24-07:00","1244","2025-09-11T09:50:24-07:00","NO","YES","PENDING"
"DDS-DB-Deploy-Service-wiki.wiki","https://github.nwie.net/Nationwide/DDS-DB-Deploy-Service-wiki.wiki.git","master","aeb7fc9","2025-04-29T14:06:10Z","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/DDS-DB-Deploy-Service-wiki.wiki","N/A","0","NO","NO","NO","N/A","2025-04-29T14:06:10Z","1470","2025-04-29T14:06:10Z","NO","YES","PENDING"
"developer-platform-experience","https://github.nwie.net/Nationwide/developer-platform-experience.git","main","bc69421","2024-10-01T14:19:52-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/developer-platform-experience","N/A","0","NO","NO","NO","N/A","2024-10-01T14:19:52-04:00","1","2024-10-01T14:19:52-04:00","NO","YES","PENDING"
"developer-platform-experience.wiki","https://github.nwie.net/Nationwide/developer-platform-experience.wiki.git","master","aaa2e66","2025-10-14T15:33:11-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/developer-platform-experience.wiki","N/A","0","NO","NO","NO","N/A","2025-10-14T15:33:11-04:00","85","2025-10-14T15:33:11-04:00","NO","YES","PENDING"
"modern-web","https://github.nwie.net/Nationwide/modern-web.git","master","8188dab","2025-10-28T15:27:31-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/dup/modern-web","N/A","0","NO","NO","NO","N/A","2025-10-28T15:27:31-04:00","49","2025-10-28T15:27:31-04:00","NO","YES","PENDING"
"service-provider","https://github.nwie.net/Nationwide/service-provider.git","main","5c73456","2025-10-06T07:18:05-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/dup/service-provider","N/A","0","NO","NO","NO","N/A","2025-10-06T07:18:05-04:00","38","2025-10-06T07:18:05-04:00","NO","YES","PENDING"
"event-streaming-platform-site","https://github.nwie.net/Nationwide/event-streaming-platform-site.git","main","198a25a","2025-11-11T15:41:12-05:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/event-streaming-platform-site","N/A","0","NO","NO","NO","N/A","2025-11-11T15:41:12-05:00","322","2025-11-11T15:41:12-05:00","NO","YES","PENDING"
"event-streaming-platform-site.wiki","https://github.nwie.net/Nationwide/event-streaming-platform-site.wiki.git","master","d9491e4","2025-11-11T15:40:20-05:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/event-streaming-platform-site.wiki","N/A","0","NO","NO","NO","N/A","2025-11-11T15:40:20-05:00","2","2025-11-11T15:40:20-05:00","NO","YES","PENDING"
"EventStreams","https://github.nwie.net/Nationwide/EventStreams.git","master","bfcd567","2025-09-10T09:43:46-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/event-streams","N/A","0","NO","NO","NO","N/A","2025-09-10T09:43:46-04:00","219","2025-09-10T09:43:46-04:00","NO","YES","PENDING"
"finance-investments-technology","https://github.nwie.net/Nationwide/finance-investments-technology.git","main","2822a8d","2023-05-22T11:06:10-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/finance-investments-technology","N/A","0","NO","NO","NO","N/A","2023-05-22T11:06:10-04:00","3","2023-05-22T11:06:10-04:00","NO","YES","PENDING"
"finance-investments-technology.wiki","https://github.nwie.net/Nationwide/finance-investments-technology.wiki.git","master","0a4abad","2025-11-07T15:09:28-05:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/finance-investments-technology.wiki","N/A","0","NO","NO","NO","N/A","2025-11-07T15:09:28-05:00","2240","2025-11-07T15:09:28-05:00","NO","YES","PENDING"
"golden-paths","https://github.nwie.net/Nationwide/golden-paths.git","main","d9a2829","2025-05-02T14:01:22-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/golden-paths","N/A","0","NO","NO","NO","N/A","2025-05-02T14:01:22-04:00","28","2025-05-02T14:01:22-04:00","NO","YES","PENDING"
"golden-paths.wiki","https://github.nwie.net/Nationwide/golden-paths.wiki.git","master","24a3eff","2025-02-10T17:31:55-05:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/golden-paths.wiki","N/A","0","NO","NO","NO","N/A","2025-02-10T17:31:55-05:00","43","2025-02-10T17:31:55-05:00","NO","YES","PENDING"
"Harness-NextGen","https://github.nwie.net/Nationwide/Harness-NextGen.git","main","5fb4863","2025-03-27T08:30:17-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/Harness-NextGen","N/A","0","NO","NO","NO","N/A","2025-03-27T08:30:17-04:00","10","2025-03-27T08:30:17-04:00","NO","YES","PENDING"
"Harness-NextGen.wiki","https://github.nwie.net/Nationwide/Harness-NextGen.wiki.git","master","1127344","2025-09-24T12:30:04-04:00","/c/devl/2025/ai-pilot/kiro/enterprise-guidelines/minerva/Harness-NextGen.wiki","N/A","0","NO","NO","NO","N/A","2025-09-24T12:30:04-04:00","278","2025-09-24T12:30:04-04:00","NO","YES","PENDING"
